region,branch_code,province,branch,month,water_sold_m3
1,5531032,ปราจีนบุรี,กบินทร์บุรี,2022-10-01,256610.0
1,5531025,จันทบุรี,ขลุง,2022-10-01,216049.0
1,5531027,ตราด,คลองใหญ่,2022-10-01,57926.0
1,5531024,จันทบุรี,จันทบุรี,2022-10-01,988327.0
1,5531017,ฉะเชิงเทรา,ฉะเชิงเทรา,2022-10-01,843044.0
1,5531011,ชลบุรี,ชลบุรี,2022-10-01,3447928.0
1,5531026,ตราด,ตราด,2022-10-01,447821.0
1,5531019,ฉะเชิงเทรา,บางคล้า,2022-10-01,1457675.0
1,5531018,ฉะเชิงเทรา,บางปะกง,2022-10-01,1018153.0
1,5531022,ระยอง,บ้านฉาง,2022-10-01,1831006.0
1,5531013,ชลบุรี,บ้านบึง,2022-10-01,1039421.0
1,5531031,ปราจีนบุรี,ปราจีนบุรี,2022-10-01,672426.3
1,5531023,ระยอง,ปากน้ำประแสร์,2022-10-01,342815.0
1,5531020,ฉะเชิงเทรา,พนมสารคาม,2022-10-01,426518.0
1,5531014,ชลบุรี,พนัสนิคม,2022-10-01,1419438.0
1,5531012,ชลบุรี,พัทยา,2022-10-01,3288246.72
1,5531021,ระยอง,ระยอง,2022-10-01,1499994.0
1,5531029,สระแก้ว,วัฒนานคร,2022-10-01,98334.0
1,5531015,ชลบุรี,ศรีราชา,2022-10-01,1350866.0
1,5531028,สระแก้ว,สระแก้ว,2022-10-01,286431.0
1,5531030,สระแก้ว,อรัญประเทศ,2022-10-01,353351.0
1,5531016,ชลบุรี,แหลมฉบัง,2022-10-01,1867132.0
2,5541031,นครราชสีมา,ครบุรี,2022-10-01,132126.0
2,5541039,ปทุมธานี,คลองหลวง,2022-10-01,2569647.0
2,5541017,ลพบุรี,ชัยบาดาล,2022-10-01,173837.0
2,5541036,นครราชสีมา,ชุมพวง,2022-10-01,95430.0
2,5541038,นครราชสีมา,ด่านขุนทด,2022-10-01,127010.0
2,5541024,พระนครศรีอยุธยา,ท่าเรือ,2022-10-01,128760.0
2,5541040,ปทุมธานี,ธัญบุรี,2022-10-01,1556518.0
2,5541027,นครนายก,นครนายก,2022-10-01,337725.0
2,5541029,นครราชสีมา,นครราชสีมา,2022-10-01,762214.0
2,5541028,นครนายก,บ้านนา,2022-10-01,244870.0
2,5541014,สระบุรี,บ้านหมอ,2022-10-01,78844.0
2,5541016,ลพบุรี,บ้านหมี่,2022-10-01,303118.0
2,5541025,ปทุมธานี,ปทุมธานี,2022-10-01,2084707.81
2,5541033,นครราชสีมา,ปักธงชัย,2022-10-01,205438.0
2,5541030,นครราชสีมา,ปากช่อง,2022-10-01,354153.0
2,5541022,พระนครศรีอยุธยา,ผักไห่,2022-10-01,38114.0
2,5541021,พระนครศรีอยุธยา,พระนครศรีอยุธยา,2022-10-01,2351446.37
2,5541011,สระบุรี,พระพุทธบาท,2022-10-01,332325.0
2,5541035,นครราชสีมา,พิมาย,2022-10-01,204249.0
2,5541013,สระบุรี,มวกเหล็ก,2022-10-01,469086.0
2,5541026,ปทุมธานี,รังสิต,2022-10-01,3794266.0
2,5541015,ลพบุรี,ลพบุรี,2022-10-01,1166760.0
2,5541020,อ่างทอง,วิเศษชัยชาญ,2022-10-01,79932.0
2,5541018,สิงห์บุรี,สิงห์บุรี,2022-10-01,209333.0
2,5541032,นครราชสีมา,สีคิ้ว,2022-10-01,672270.0
2,5541012,สระบุรี,หนองแค,2022-10-01,905792.0
2,5541019,อ่างทอง,อ่างทอง,2022-10-01,229715.0
2,5541023,พระนครศรีอยุธยา,เสนา,2022-10-01,218217.0
2,5541034,นครราชสีมา,โชคชัย,2022-10-01,276238.0
2,5541037,นครราชสีมา,โนนสูง,2022-10-01,115286.0
3,5542024,กาญจนบุรี,กาญจนบุรี,2022-10-01,583949.0
3,5542031,ประจวบคีรีขันธ์,กุยบุรี,2022-10-01,327759.54
3,5542022,สุพรรณบุรี,ด่านช้าง,2022-10-01,105953.0
3,5542027,กาญจนบุรี,ท่ามะกา,2022-10-01,187408.0
3,5542033,นครปฐม,นครปฐม,2022-10-01,495476.0
3,5542032,ประจวบคีรีขันธ์,บางสะพาน,2022-10-01,221917.0
3,5542011,ราชบุรี,บ้านโป่ง,2022-10-01,199608.0
3,5542029,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,2022-10-01,300399.0
3,5542030,ประจวบคีรีขันธ์,ปราณบุรี,2022-10-01,660591.0
3,5542013,ราชบุรี,ปากท่อ,2022-10-01,408343.0
3,5542026,กาญจนบุรี,พนมทวน,2022-10-01,127031.0
3,5542014,ราชบุรี,ราชบุรี,2022-10-01,545471.04
3,5542020,สุพรรณบุรี,ศรีประจันต์,2022-10-01,82515.0
3,5542015,สมุทรสงคราม,สมุทรสงคราม,2022-10-01,810443.0
3,5542016,สมุทรสาคร,สมุทรสาคร,2022-10-01,4950627.0
3,5542012,ราชบุรี,สวนผึ้ง,2022-10-01,106034.0
3,5542018,นครปฐม,สามพราน,2022-10-01,1004175.0
3,5542019,สุพรรณบุรี,สุพรรณบุรี,2022-10-01,522047.0
3,5542023,สุพรรณบุรี,อู่ทอง,2022-10-01,331854.0
3,5542017,สมุทรสาคร,อ้อมน้อย,2022-10-01,2480049.0
3,5542021,สุพรรณบุรี,เดิมบางนางบวช,2022-10-01,177599.0
3,5542028,เพชรบุรี,เพชรบุรี,2022-10-01,1132787.0
3,5542025,กาญจนบุรี,เลาขวัญ,2022-10-01,115602.0
4,5551025,กระบี่,กระบี่,2022-10-01,699462.0
4,5551012,สุราษฎร์ธานี,กาญจนดิษฐ์,2022-10-01,251042.0
4,5551031,นครศรีธรรมราช,ขนอม,2022-10-01,120534.0
4,5551034,กระบี่,คลองท่อม,2022-10-01,99912.0
4,5551030,นครศรีธรรมราช,จันดี,2022-10-01,125101.0
4,5551028,นครศรีธรรมราช,ชะอวด,2022-10-01,88851.0
4,5551017,ชุมพร,ชุมพร,2022-10-01,794398.0
4,5551022,พังงา,ตะกั่วป่า,2022-10-01,120849.0
4,5551027,นครศรีธรรมราช,ทุ่งสง,2022-10-01,464802.0
4,5551019,ชุมพร,ท่าแซะ,2022-10-01,88118.0
4,5551023,พังงา,ท้ายเหมือง,2022-10-01,67856.0
4,5551032,นครศรีธรรมราช,นครศรีธรรมราช,2022-10-01,221321.0
4,5551015,สุราษฎร์ธานี,บ้านตาขุน,2022-10-01,82961.0
4,5551014,สุราษฎร์ธานี,บ้านนาสาร,2022-10-01,146765.0
4,5551029,นครศรีธรรมราช,ปากพนัง,2022-10-01,230687.0
4,5551021,พังงา,พังงา,2022-10-01,198425.0
4,5551024,ภูเก็ต,ภูเก็ต,2022-10-01,1485656.0
4,5551020,ระนอง,ระนอง,2022-10-01,421782.33
4,5551011,สุราษฎร์ธานี,สุราษฎร์ธานี,2022-10-01,1635095.3
4,5551018,ชุมพร,หลังสวน,2022-10-01,297000.0
4,5551026,กระบี่,อ่าวลึก,2022-10-01,83743.0
4,5551033,สุราษฎร์ธานี,เกาะพะงัน,2022-10-01,77471.0
4,5551013,สุราษฎร์ธานี,เกาะสมุย,2022-10-01,482304.0
4,5551016,สุราษฎร์ธานี,ไชยา,2022-10-01,84558.0
5,5552021,ตรัง,กันตัง,2022-10-01,215249.0
5,5552018,ตรัง,ตรัง,2022-10-01,320420.0
5,5552027,นราธิวาส,นราธิวาส,2022-10-01,455669.0
5,5552014,สงขลา,นาทวี,2022-10-01,77040.0
5,5552030,สงขลา,พังลา,2022-10-01,85945.0
5,5552016,พัทลุง,พัทลุง,2022-10-01,355230.0
5,5552024,ยะลา,ยะหา,2022-10-01,62130.0
5,5552020,ตรัง,ย่านตาขาว,2022-10-01,119930.0
5,5552015,สงขลา,ระโนด,2022-10-01,40796.0
5,5552028,นราธิวาส,รือเสาะ,2022-10-01,41635.0
5,5552023,สตูล,ละงู,2022-10-01,158761.0
5,5552011,สงขลา,สงขลา,2022-10-01,1421559.0
5,5552022,สตูล,สตูล,2022-10-01,324271.0
5,5552013,สงขลา,สะเดา,2022-10-01,381899.0
5,5552026,ปัตตานี,สายบุรี,2022-10-01,41697.0
5,5552029,นราธิวาส,สุไหงโก-ลก,2022-10-01,212902.0
5,5552012,สงขลา,หาดใหญ่,2022-10-01,1873523.0
5,5552019,ตรัง,ห้วยยอด,2022-10-01,191329.0
5,5552017,พัทลุง,เขาชัยสน,2022-10-01,46260.0
5,5552025,ยะลา,เบตง,2022-10-01,204734.0
6,5521016,ขอนแก่น,กระนวน,2022-10-01,230376.0
6,5521019,กาฬสินธุ์,กาฬสินธุ์,2022-10-01,490318.0
6,5521020,กาฬสินธุ์,กุฉินารายณ์,2022-10-01,75825.0
6,5521011,ขอนแก่น,ขอนแก่น,2022-10-01,2651954.0
6,5521026,ชัยภูมิ,จัตุรัส,2022-10-01,229490.0
6,5521015,ขอนแก่น,ชนบท,2022-10-01,231627.0
6,5521024,ชัยภูมิ,ชัยภูมิ,2022-10-01,703382.0
6,5521013,ขอนแก่น,ชุมแพ,2022-10-01,305016.0
6,5521014,ขอนแก่น,น้ำพอง,2022-10-01,365177.0
6,5521029,ชัยภูมิ,บำเหน็จณรงค์,2022-10-01,203210.0
6,5521012,ขอนแก่น,บ้านไผ่,2022-10-01,269386.0
6,5521023,มหาสารคาม,พยัคฆภูมิพิสัย,2022-10-01,122793.0
6,5521028,ชัยภูมิ,ภูเขียว,2022-10-01,177972.0
6,5521022,มหาสารคาม,มหาสารคาม,2022-10-01,1046891.0
6,5521030,ร้อยเอ็ด,ร้อยเอ็ด,2022-10-01,621745.0
6,5521021,กาฬสินธุ์,สมเด็จ,2022-10-01,98933.0
6,5521032,ร้อยเอ็ด,สุวรรณภูมิ,2022-10-01,83776.0
6,5521027,ชัยภูมิ,หนองบัวแดง,2022-10-01,109311.0
6,5521017,ขอนแก่น,หนองเรือ,2022-10-01,169406.0
6,5521018,ขอนแก่น,เมืองพล,2022-10-01,183462.0
6,5521025,ชัยภูมิ,แก้งคร้อ,2022-10-01,166586.0
6,5521031,ร้อยเอ็ด,โพนทอง,2022-10-01,125984.0
7,5522012,อุดรธานี,กุมภวาปี,2022-10-01,264589.0
7,5522018,เลย,ด่านซ้าย,2022-10-01,69804.0
7,5522028,นครพนม,ธาตุพนม,2022-10-01,177532.0
7,5522027,นครพนม,นครพนม,2022-10-01,317284.0
7,5522021,บึงกาฬ,บึงกาฬ,2022-10-01,148903.0
7,5522014,อุดรธานี,บ้านดุง,2022-10-01,164411.0
7,5522013,อุดรธานี,บ้านผือ,2022-10-01,146017.0
7,5522029,นครพนม,บ้านแพง,2022-10-01,66369.0
7,5522026,สกลนคร,พังโคน,2022-10-01,190585.0
7,5522019,เลย,วังสะพุง,2022-10-01,155802.0
7,5522030,นครพนม,ศรีสงคราม,2022-10-01,96619.0
7,5522022,หนองคาย,ศรีเชียงใหม่,2022-10-01,87715.0
7,5522024,สกลนคร,สกลนคร,2022-10-01,563745.0
7,5522025,สกลนคร,สว่างแดนดิน,2022-10-01,162420.0
7,5522020,หนองคาย,หนองคาย,2022-10-01,474622.0
7,5522015,หนองบัวลำภู,หนองบัวลำภู,2022-10-01,248796.0
7,5522011,อุดรธานี,อุดรธานี,2022-10-01,1926587.0
7,5522017,เลย,เชียงคาน,2022-10-01,154428.0
7,5522016,เลย,เลย,2022-10-01,489100.0
7,5522023,หนองคาย,โพนพิสัย,2022-10-01,131724.0
8,5532029,ศรีสะเกษ,กันทรลักษ์,2022-10-01,98666.0
8,5532022,บุรีรัมย์,นางรอง,2022-10-01,199052.0
8,5532019,บุรีรัมย์,บุรีรัมย์,2022-10-01,708374.0
8,5532012,อุบลราชธานี,พิบูลมังสาหาร,2022-10-01,98605.0
8,5532018,ยโสธร,มหาชนะชัย,2022-10-01,87698.0
8,5532030,มุกดาหาร,มุกดาหาร,2022-10-01,383257.0
8,5532016,ยโสธร,ยโสธร,2022-10-01,258664.0
8,5532026,สุรินทร์,รัตนบุรี,2022-10-01,154415.0
8,5532023,บุรีรัมย์,ละหานทราย,2022-10-01,192343.0
8,5532021,บุรีรัมย์,ลำปลายมาศ,2022-10-01,95484.0
8,5532028,ศรีสะเกษ,ศรีสะเกษ,2022-10-01,644277.0
8,5532025,สุรินทร์,ศีขรภูมิ,2022-10-01,138822.0
8,5532020,บุรีรัมย์,สตึก,2022-10-01,104226.0
8,5532027,สุรินทร์,สังขะ,2022-10-01,190906.0
8,5532024,สุรินทร์,สุรินทร์,2022-10-01,758561.0
8,5532015,อำนาจเจริญ,อำนาจเจริญ,2022-10-01,205049.0
8,5532011,อุบลราชธานี,อุบลราชธานี,2022-10-01,1387622.0
8,5532014,อุบลราชธานี,เขมราฐ,2022-10-01,131678.0
8,5532013,อุบลราชธานี,เดชอุดม,2022-10-01,146330.0
8,5532017,ยโสธร,เลิงนกทา,2022-10-01,97250.0
9,5511017,เชียงใหม่,จอมทอง,2022-10-01,77695.0
9,5511031,พะเยา,จุน,2022-10-01,86811.0
9,5511029,น่าน,ท่าวังผา,2022-10-01,91412.0
9,5511028,น่าน,น่าน,2022-10-01,311537.0
9,5511021,ลำพูน,บ้านโฮ่ง,2022-10-01,17617.0
9,5511016,เชียงใหม่,ฝาง,2022-10-01,110301.0
9,5511030,พะเยา,พะเยา,2022-10-01,473811.0
9,5511033,เชียงราย,พาน,2022-10-01,132746.0
9,5511027,แพร่,ร้องกวาง,2022-10-01,54418.0
9,5511022,ลำปาง,ลำปาง,2022-10-01,766117.0
9,5511020,ลำพูน,ลำพูน,2022-10-01,310833.0
9,5511013,เชียงใหม่,สันกำแพง,2022-10-01,268188.0
9,5511012,เชียงใหม่,ฮอด,2022-10-01,53632.0
9,5511023,ลำปาง,เกาะคา,2022-10-01,93192.0
9,5511032,เชียงราย,เชียงราย,2022-10-01,704481.0
9,5511011,เชียงใหม่,เชียงใหม่,2022-10-01,2807513.0
9,5511026,แพร่,เด่นชัย,2022-10-01,90333.0
9,5511024,ลำปาง,เถิน,2022-10-01,112956.0
9,5511034,เชียงราย,เทิง,2022-10-01,47279.0
9,5511035,เชียงราย,เวียงเชียงของ,2022-10-01,72233.0
9,5511025,แพร่,แพร่,2022-10-01,217487.0
9,5511037,เชียงราย,แม่ขะจาน,2022-10-01,57018.0
9,5511014,เชียงใหม่,แม่ริม,2022-10-01,438881.0
9,5511019,แม่ฮ่องสอน,แม่สะเรียง,2022-10-01,111924.0
9,5511036,เชียงราย,แม่สาย,2022-10-01,348817.0
9,5511018,แม่ฮ่องสอน,แม่ฮ่องสอน,2022-10-01,153984.0
9,5511015,เชียงใหม่,แม่แตง,2022-10-01,139003.0
10,5512017,กำแพงเพชร,กำแพงเพชร,2022-10-01,482301.0
10,5512018,กำแพงเพชร,ขาณุวรลักษบุรี,2022-10-01,96806.0
10,5512034,เพชรบูรณ์,ชนแดน,2022-10-01,55115.0
10,5512015,ชัยนาท,ชัยนาท,2022-10-01,218893.0
10,5512031,พิจิตร,ตะพานหิน,2022-10-01,141462.0
10,5512019,ตาก,ตาก,2022-10-01,459087.0
10,5512022,สุโขทัย,ทุ่งเสลี่ยม,2022-10-01,52729.0
10,5512012,นครสวรรค์,ท่าตะโก,2022-10-01,193135.0
10,5512011,นครสวรรค์,นครสวรรค์,2022-10-01,552496.0
10,5512028,พิษณุโลก,นครไทย,2022-10-01,90443.0
10,5512030,พิจิตร,บางมูลนาก,2022-10-01,88676.0
